iter	Passed	Remaining
0	3	490
1	7	547
2	11	553
3	14	531
4	17	493
5	19	477
6	23	486
7	28	503
8	30	471
9	32	451
10	35	445
11	37	432
12	40	431
13	44	434
14	48	435
15	51	430
16	54	425
17	56	417
18	59	411
19	61	399
20	63	391
21	67	394
22	70	388
23	73	386
24	76	383
25	78	376
26	81	371
27	84	368
28	88	368
29	91	365
30	94	362
31	97	360
32	101	358
33	103	354
34	105	348
35	108	342
36	109	335
37	111	328
38	113	323
39	116	319
40	119	318
41	122	315
42	124	308
43	125	302
44	127	297
45	131	296
46	133	292
47	135	288
48	137	284
49	139	279
50	142	275
51	144	273
52	147	270
53	150	267
54	152	264
55	154	260
56	156	255
57	158	250
58	159	246
59	162	243
60	164	240
61	167	237
62	169	233
63	172	231
64	174	227
65	176	225
66	181	224
67	183	221
68	187	219
69	189	216
70	192	213
71	195	211
72	200	211
73	204	209
74	206	206
75	209	203
76	211	200
77	214	197
78	217	195
79	220	192
80	223	190
81	229	190
82	232	187
83	234	184
84	237	181
85	239	178
86	242	175
87	244	171
88	246	168
89	248	165
90	251	163
91	253	160
92	255	156
93	257	153
94	260	150
95	262	147
96	263	144
97	266	141
98	268	138
99	269	134
100	271	131
101	273	128
102	275	125
103	276	122
104	277	119
105	279	115
106	281	112
107	282	110
108	284	106
109	285	103
110	287	100
111	289	98
112	290	95
113	292	92
114	294	89
115	296	86
116	298	84
117	299	81
118	300	78
119	302	75
120	303	72
121	305	70
122	306	67
123	308	64
124	310	62
125	311	59
126	313	56
127	314	54
128	316	51
129	318	48
130	320	46
131	322	43
132	323	41
133	325	38
134	325	36
135	327	33
136	329	31
137	330	28
138	332	26
139	333	23
140	335	21
141	337	19
142	339	16
143	342	14
144	344	11
145	347	9
146	348	7
147	349	4
148	351	2
149	353	0
