,res_url,res_reviews,points
0,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,Marcos was great! The vibe was nice and he helped us with drink selections. The food was great and came out in a timely manner. Definitely will be back.,5 star rating
1,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,Best place in LA for micheladas. Staff is great. But Tbh I come here for the fries. Especially when they give you the chipotle sauce. ***P.S my girlfriend says the torta are really good.,5 star rating
2,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,Edgar was great! Very knowledgeable with his beer and friendly. Definitely coming back !,5 star rating
3,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,Oooo their micheladas are so yummy!!! The food is mid... service was okay and the ambiance is very chill. I would go back to this place to catch up with friends,5 star rating
4,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"This spot is actually super cute. They have an antique car at the front with skeletons as drivers which is different than most places. Food was alright.

The beef was definitely better than the chicken, chicken reminds me a bit of pollo loco chicken. Prices were a bit higher than usual for tacos, but the drinks were actually pretty good here. The micheladas were really flavorful and reasonably priced. (Thursdays they have a michelada special $7.50 I think) service was excellent no complain, the server constantly kept checking in on us even when the restaurant started to get busy.",3 star rating
5,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Sunday 3/3/24 no parking - parking available was 40 dollars paid . When I went back to get my keys my car was missing from where I had left it with the key holder I was
So shocked to know that my car wasn't where it was supposed to be at . Walked back into the restaurant and asked who takes care of the valet parking acted like they didn't know what I was talking about eventually I
Got the security to help me out and said yes your keys are in a bucked inside our cashier station -why didn't I get told that at the first time paid 40 dollars to them and had me wondering where was my car all this time . Will never come back and would like my refund back for all inconvenience caused",1 star rating
6,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Wish this was for a better experience.

Came here by recommendation, Sunday evening. After security checked us; we were told to stand outside the entrance door for a server to greet and seat my partner and I. Waited 10min, not once were we greeted. No one looked over and said welcome, not a give a minute we're short staffed or busy. (Side note, they weren't busy. With 3 tables in view open for seating)

After the wait; server was great. Welcoming, walked us to our table, and explained how to order. Checked in once after our order was out.

I ordered a simple draft beer, Pacifico, no way they can mess up a pour. However; their Bandera Flight; absolutely trash. Cheapest tequila for the shots. It was $16; guess I expected more of a dulce shot, not crappy tequila.

For those that are familiar with this area, this is a Mexican 901 bar. It was truly my fault expecting more.",3 star rating
7,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Best taco Tuesdays special. Their tacos are sooooo soooo good. They do not have a bar, just beers and agave margaritas.

Great service. Large space with a lot of seating.",5 star rating
8,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Boasts an impressive drink menu that we've enjoyed on two visits. The creativity and quality are evident, with tantalizing specials catching our eye. However, it's disappointing that they don't offer gluten-free options, which could easily cater to those with allergies. A few more mainstream choices would also be appreciated. While the menu looks delicious, we've found it challenging to accommodate my partner's allergies. Despite this, the restaurant's inviting menu and nice staff are noteworthy.",4 star rating
9,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,This food was kinda fire...we ordered the carne asada nachos and the chicken nachos and they were so delicious!! There was also a punching bag game that was quite entertaining while we waited for 20 minutes for our food to come out,4 star rating
10,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Ate here with some friends before going to a concert at BMO Stadium

While a tad pricey it wasn't anything I wasn't expecting to pay and the food was actually pretty good. Satisfying and filling.

The drinks were delicious and our server was the best. She was attentive and patient even after we were a few drinks in.",4 star rating
11,https://www.yelp.com/biz/la-chuperia-los-angeles-15?osq=Restaurants,"Perfect spot for lunch during the work week. It was not at all crowded, in fact it was just the two of us for the most part and some people come and go here and there. Prices are good and the food was incredible. Lunch specials are the way to go, the 3 carne asada tacos were delicious and filled me up. Definitely coming back here for happy hour so I can try their alcoholic beverages, the micheladas sound incredible.",5 star rating
